market_id,question,description,outcomes,end_date,volume,ground_truth,ground_truth_label,final_prices,slug
1340094,Superform FDV above $100M one day after launch?,"This market will resolve to ""Yes"" if the Fully Diluted Valuation of Superform's governance token is greater than the value specified in the title 1 day after launch. Otherwise, the market will resolve to ""No.""

The token must be actively, publicly transferable and tradable to be considered a launch.

The FDV will be determined using the total token supply multiplied by the token price.

""1 day after launch"" is defined as 4:00 PM ET on the calendar day following launch. The resolution source for this market is the most liquid price source available. If Superform (https://x.com/superformxyz) doesn't launch a token by December 31, 2026, 11:59 PM ET, this market will resolve to ""No"".","[""Yes"", ""No""]",2027-01-01T05:00:00Z,99958.02,0,No,"[0.0, 1.0]",superform-fdv-above-100m-one-day-after-launch
516877,"Will Ethereum hit $6,000 by December 31?","This market will immediately resolve to ""Yes"" if any Binance 1 minute candle for Ethereum (ETHUSDT) between December 30, 2024, 21:00 and December 31, 2025, 23:59 in the ET timezone has a final ""High"" price of $6,000.00 or higher. Otherwise, this market will resolve to ""No.""

The resolution source for this market is Binance, specifically the ETHUSDT ""High"" prices available at https://www.binance.com/en/trade/ETH_USDT, with the chart settings on ""1m"" for one-minute candles selected on the top bar.

Please note that the outcome of this market depends solely on the price data from the Binance ETHUSDT trading pair. Prices from other exchanges, different trading pairs, or spot markets will not be considered for the resolution of this market.","[""Yes"", ""No""]",2025-12-31T12:00:00Z,9995564.2,0,No,"[0.0, 1.0]",will-ethereum-hit-6000-by-december-31-843-315
1082090,Ethereum Up or Down on January 3?,"This market will resolve to ""Up"" if the ""Close"" price for the Binance 1 minute candle for ETH/USDT Jan 2 '26 12:00 in the ET timezone (noon) is lower than the final ""Close"" price for the Jan 3 '26 12:00 ET candle.

This market will resolve to ""Down"" if the ""Close"" price for the Binance 1 minute candle for ETH/USDT Jan 2 '26 12:00 in the ET timezone (noon) is higher than the final ""Close"" price for the Jan 3 '26 12:00 ET candle.

If the final ""Close"" price for both of these candles is exactly equal on Binance, this market will resolve 50-50.

The resolution source for this market is Binance, specifically the ETH/USDT ""Close"" prices currently available at https://www.binance.com/en/trade/ETH_USDT with ""1m"" and ""Candles"" selected on the top bar.

Please note that this market is about the price according to Binance ETH/USDT, not according to other sources or spot markets.","[""Up"", ""Down""]",2026-01-03T17:00:00Z,99948.38,0,Down,"[0.0, 1.0]",ethereum-up-or-down-on-january-3
552846,Will Palmeiras beat Al Ahly?,"In the upcoming FIFA Club World Cup game, scheduled for June 19 at 12:00 PM ET,
If Palmeiras wins, this market will resolve to “Yes”.
Otherwise this market will resolve to ""No"".
If the game is postponed, this market will remain open until the game has been completed.
If the game is canceled entirely, with no make-up game, this market will resolve “No”.","[""Yes"", ""No""]",2025-06-19T00:00:00Z,99941.89,1,Yes,"[1.0, 0.0]",will-palmeiras-beat-al-ahly
1422373,Will the US strike Colombia next?,"This market will resolve according to the first country against which the US initiates a drone, missile, or air strike on the soil or any official embassy or consulate after the time of this market's creation.

For the purposes of this market, a qualifying ""strike"" is defined as the use of aerial bombs, drones, or missiles (including FPV and ATGM strikes as well as cruise or ballistic missiles) launched by any United States operatives, including military forces, intelligence agencies, or other U.S. government operatives, that physically impact ground territory within the listed country.

A strike on any area within the terrestrial territory (including rivers, lakes, ports, but excluding territorial sea) of the listed country counts.

Missiles or drones that are intercepted and surface-to-air missile strikes will not be sufficient for a ""Yes"" resolution, regardless of whether they land on the listed country's territory or cause damage.

Actions such as artillery fire, small arms fire, ground incursions, naval shelling, or cyberattacks will not qualify.

If the U.S. does not strike another country by December 31, 2026, 11:59 PM ET, this market will resolve to ""None before 2027"". If the U.S. strikes a country that is not listed next, this market will resolve to ""Other"".

This market will remain open until 5:00 PM ET on the day following the initial announcement/reporting in order to account for the possibility of an earlier strike. 

In cases where the precise time of a strike is not confirmed by U.S. government sources the following standards will be applied: 

If a strike is announced as happening on a specified date without an exact time, the market will resolve based on the time of the strike based on a consensus of credible reporting. If the timing of the strike cannot be determined by a consensus of credible reporting by 5:00 PM ET on the day following the initial announcement/reporting, the strike will be considered to have occurred on the reported date at 12:00","[""Yes"", ""No""]",2026-12-31T00:00:00Z,99940.58,0,No,"[0.0, 1.0]",will-the-us-strike-colombia-next-731
705831,"Will the price of Bitcoin be between $88,000 and $90,000 on December 3?","This market will resolve according to the final ""Close"" price of the Binance 1 minute candle for BTC/USDT 12:00 in the ET timezone (noon) on the date specified in the title. Otherwise, this market will resolve to ""No"".

The resolution source for this market is Binance, specifically the BTC/USDT ""Close"" prices currently available at https://www.binance.com/en/trade/BTC_USDT with ""1m"" and ""Candles"" selected on the top bar.

If the reported value falls exactly between two brackets, then this market will resolve to the higher range bracket.

Please note that this market is about the price according to Binance BTC/USDT, not according to other sources or spot markets.","[""Yes"", ""No""]",2025-12-03T17:00:00Z,99934.43,0,No,"[0.0, 1.0]",will-the-price-of-bitcoin-be-between-88000-90000-on-december-3
610712,Will Club Brugge win on 2025-09-30?,"In the upcoming UCL game, scheduled for September 30 at 12:45PM ET,
If Club Brugge wins, this market will resolve to “Yes”.
If Club Brugge loses, this market will resolve to “No”.
If the game is postponed, this market will remain open until the game has been completed.
If the game is canceled entirely, with no make-up game, this market will resolve “No”.
This market refers only to the outcome within the first 90 minutes of regular play plus stoppage time.","[""Yes"", ""No""]",2025-09-30T16:45:00Z,99932.74,0,No,"[0.0, 1.0]",ucl-ata-bru-2025-09-30-bru
690178,Aztec FDV above $1.5B one day after launch?,"This market will resolve to ""Yes"" if the Fully Diluted Valuation of Aztec's token is greater than the value specified in the title 1 day after launch. Otherwise, the market will resolve to ""No.""

The token must be actively, publicly transferable and tradable to be considered a launch.

""1 day after launch"" is defined as 4:00 PM ET on the calendar day following launch. The resolution source for this market is the most liquid price source available. If Aztec (https://aztec.network/) doesn't launch a token by December 31, 2026, 11:59 PM ET, this market will resolve to ""No"".","[""Yes"", ""No""]",2027-01-01T05:00:00Z,99926.67,0,No,"[0.0, 1.0]",aztec-fdv-above-1pt5b-one-day-after-launch-214-724
1015956,Will Crystal Palace FC vs. Aston Villa FC end in a draw?,"In the upcoming game, scheduled for January 7, 2026
If the game ends in a draw, this market will resolve to ""Yes"".
Otherwise, this market will resolve to ""No"".
If the game is postponed, this market will remain open until the game has been completed.
If the game is canceled entirely, with no make-up game, this market will resolve to ""Yes"".
This market refers only to the outcome within the first 90 minutes of regular play plus stoppage time.","[""Yes"", ""No""]",2026-01-07T19:30:00Z,99916.14,1,Yes,"[1.0, 0.0]",epl-cry-ast-2026-01-07-draw
1087423,Will Iga Świątek win the 2026 Women's Australian Open?,"The 2026 Australian Open is set to take place from January 12 - February 1, 2026.

This market will resolve to the player that wins the 2026 Australian Open Women’s Singles Tournament.

If at any point it becomes impossible for a listed player to win the 2026 Australian Open Women’s Singles Tournament per the rules of the tournament, the corresponding market will resolve to “No”.

If the 2026 Australian Open Women’s Singles Tournament is cancelled, postponed after February 28, 2026, or there is otherwise no winner declared within that timeframe, this market will resolve to “Other”.

The primary resolution source will be official information from the Australian Open (https://ausopen.com/); however, a consensus of credible reporting may also be used.","[""Yes"", ""No""]",2026-01-31T00:00:00Z,99907.28,0,No,"[0.0, 1.0]",will-iga-witek-win-the-2026-womens-australian-open
515939,Israel and Saudi Arabia normalize relations before April?,"This market will resolve to ""Yes"" if both Israel and the Kingdom of Saudi Arabia officially announce the establishment of diplomatic relations between December 16, 2024, and March 31, 2025, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

The primary resolution source for this market will be official information from Israel and the Kingdom of Saudi Arabia, however a consensus of credible reporting may also be used.","[""Yes"", ""No""]",2025-03-31T12:00:00Z,999034.2,0,No,"[0.0, 1.0]",israel-and-saudi-arabia-normalize-relations-before-may
1273909,"Will the US next strike Iran on February 4, 2026 (ET)?","This market will resolve according to the next date (ET) the US initiates a drone, missile, or air strike on Iranian soil or any official Iranian embassy or consulate between market creation and February 28, 2026, (ET). 

If the date/time of a qualifying strike cannot be confirmed by a consensus of credible reporting within 48 hours of the listed date, the respective market will resolve to ""No"" regardless of whether a strike is later confirmed to have occurred. If no strike could be verified under the prior rule by 48 hours after this market's end date, it will resolve to ""No strike by February 28,"" regardless of whether a strike is later confirmed to have occurred.

For the purposes of this market, a qualifying ""strike"" is defined as the use of aerial bombs, drones or missiles (including cruise or ballistic missiles) launched by US military forces that impact Iranian ground territory or any official Iranian embassy or consulate (e.g., if a weapons depot on Iranian soil is hit by an US missile, this will qualify).

Missiles or drones that are intercepted and surface-to-air missile strikes will not be sufficient, regardless of whether they land on Iranian territory or cause damage.

Actions such as artillery fire, small arms fire, FPV or ATGM strikes directly, ground incursions, naval shelling, cyberattacks, or other operations conducted by US ground operatives will not qualify.

The resolution source will be a consensus of credible reporting.","[""Yes"", ""No""]",2026-02-28T00:00:00Z,999004.6,0,No,"[0.0, 1.0]",will-the-us-next-strike-iran-on-february-4-2026-et
619255,Will the price of Solana be between $180 and $190 on October 8?,"This market will resolve according to the final ""Close"" price of the Binance 1 minute candle for SOL/USDT 12:00 in the ET timezone (noon) on the date specified in the title. Otherwise, this market will resolve to ""No"".

The resolution source for this market is Binance, specifically the SOL/USDT ""Close"" prices currently available at https://www.binance.com/en/trade/SOL_USDT with ""1m"" and ""Candles"" selected on the top bar.

If the reported value falls exactly between two brackets, then this market will resolve to the higher range bracket.

Please note that this market is about the price according to Binance SOL/USDT, not according to other sources or spot markets.","[""Yes"", ""No""]",2025-10-08T16:00:00Z,998961.61,0,No,"[0.0, 1.0]",will-the-price-of-solana-be-between-180-190-on-october-8
507890, Will the Phoenix Suns win the 2025 NBA Finals?,"This market will resolve to “Yes” if the Phoenix Suns win the 2024-2025 NBA Championship. Otherwise, this market will resolve to “No”.

This market will resolve to “No” if it becomes impossible for this team to become 2024-25 NBA Champion based off the rules of the NBA.

The resolution source for this market will be information from the NBA.","[""Yes"", ""No""]",2025-06-23T12:00:00Z,9988733.1,0,No,"[0.0, 1.0]",will-the-phoenix-suns-win-the-2025-nba-finals
964389,"Will the price of Ethereum be between $2,500 and $2,600 on December 25?","This market will resolve according to the final ""Close"" price of the Binance 1 minute candle for ETH/USDT 12:00 in the ET timezone (noon) on the date specified in the title. Otherwise, this market will resolve to ""No"".

The resolution source for this market is Binance, specifically the ETH/USDT ""Close"" prices currently available at https://www.binance.com/en/trade/ETH_USDT with ""1m"" and ""Candles"" selected on the top bar.

If the reported value falls exactly between two brackets, then this market will resolve to the higher range bracket.

Please note that this market is about the price according to Binance ETH/USDT, not according to other sources or spot markets.","[""Yes"", ""No""]",2025-12-25T17:00:00Z,99884.67,0,No,"[0.0, 1.0]",will-the-price-of-ethereum-be-between-2500-2600-on-december-25
518409,Will global temperature increase by between 1.20-1.24ºC in January 2025?,"This market will resolve to ""Yes"" if the data for the Global Land-Ocean Temperature Index for January 2025 shows an increase of between 1.20°C and 1.24°C when it is released. Otherwise, this market will resolve to ""No"".

An anomaly of between 1.20°C and 1.24°C for January 2025 is necessary and sufficient to resolve this market to ""Yes"" immediately once the data becomes available regardless of whether the figure for January 2025 is later revised.

The primary resolution source for this market will be the figure found in the table titled ""GLOBAL Land-Ocean Temperature Index in 0.01 degrees Celsius"" under the column ""Jan"" in the row ""2025"" (https://data.giss.nasa.gov/gistemp/tabledata_v4/GLB.Ts+dSST.txt). If NASA's ""Global Temperature Index"" is rendered permanently unavailable, other information from NASA may be used. If no information for January 2025 is provided by NASA by May 1, 2025, 11:59 PM ET, this market will resolve ""No"".","[""Yes"", ""No""]",2025-01-31T12:00:00Z,998803.06,0,No,"[0.0, 1.0]",will-global-temperature-increase-by-between-1pt20-1pt24c-in-january-2025
518131,Will Trump save TikTok in first 100 days?,"This market will resolve to ""Yes"" if Donald Trump as President of the United States signs any federal legislation or performs any executive action by April 29, 2025, 11:59 PM ET that has the effect of overturning or delaying the enforcement of the federal law mandating TikTok’s sale or ban. Otherwise, this market will resolve to ""No"".

Any law or executive action meeting these criteria will count, even if its implementation is immediately halted or delayed by judicial or other actions.

Any bill signed into law or executive action taken within this market's time frame will qualify, regardless of when the law or action goes into effect.

This market's resolution source will be official information from the Trump administration.
","[""Yes"", ""No""]",2025-04-29T12:00:00Z,99878.99,1,Yes,"[1.0, 0.0]",will-trump-save-tiktok-in-first-100-days
528092,Will the price of Bitcoin be greater than $87000 on Mar 21?,"This market will resolve according to the final ""Close"" price of the Binance 1 minute candle for BTCUSDT 21 Mar '25 12:00 in the ET timezone (noon). Otherwise, this market will resolve to ""No"".

The resolution source for this market is Binance, specifically the BTCUSDT ""Close"" prices currently available at https://www.binance.com/en/trade/BTC_USDT with ""1m"" and ""Candles"" selected on the top bar.

If the reported value falls exactly between two brackets, then this market will resolve to the higher range bracket.

Please note that this market is about the price according to Binance BTCUSDT, not according to other sources or spot markets.","[""Yes"", ""No""]",2025-03-21T12:00:00Z,998771.15,0,No,"[0.0, 1.0]",will-the-price-of-bitcoin-be-greater-than-87000-on-mar-21
1413558,Will the highest temperature in London be 13°C on February 24?,"This market will resolve to the temperature range that contains the highest temperature recorded at the London City Airport Station in degrees Celsius on 24 Feb '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the London City Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/gb/london/EGLC.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.","[""Yes"", ""No""]",2026-02-24T12:00:00Z,99875.37,0,No,"[0.0, 1.0]",highest-temperature-in-london-on-february-24-2026-13c
1320351,"Will the price of Bitcoin be between $72,000 and $74,000 on February 9?","This market will resolve according to the final ""Close"" price of the Binance 1 minute candle for BTC/USDT 12:00 in the ET timezone (noon) on the date specified in the title. Otherwise, this market will resolve to ""No"".

The resolution source for this market is Binance, specifically the BTC/USDT ""Close"" prices currently available at https://www.binance.com/en/trade/BTC_USDT with ""1m"" and ""Candles"" selected on the top bar.

If the reported value falls exactly between two brackets, then this market will resolve to the higher range bracket.

Please note that this market is about the price according to Binance BTC/USDT, not according to other sources or spot markets.","[""Yes"", ""No""]",2026-02-09T17:00:00Z,99866.66,0,No,"[0.0, 1.0]",will-the-price-of-bitcoin-be-between-72000-74000-on-february-9
618974,Will Ethereum reach $5600 in October?,"This market will immediately resolve to ""Yes"" if any Binance 1 minute candle for Ethereum (ETH/USDT) during the month specified in the title (from 00:00 AM ET on the first day to 11:59 PM ET on the last), has a final ""High"" price equal to or greater than the price specified in the title. Otherwise, this market will resolve to ""No.""

The resolution source for this market is Binance, specifically the ETH/USDT ""High"" prices available at https://www.binance.com/en/trade/ETH_USDT, with the chart settings on ""1m"" for one-minute candles selected on the top bar

Please note that the outcome of this market depends solely on the price data from the Binance ETH/USDT trading pair. Prices from other exchanges, different trading pairs, or spot markets will not be considered for the resolution of this market.","[""Yes"", ""No""]",2025-11-01T04:00:00Z,998599.89,0,No,"[0.0, 1.0]",will-ethereum-reach-5600-in-october
1300553,"Will Trump say ""Six Seven"" this week? (February 8)","This market will resolve to “Yes” if Donald Trump mentions the listed term between February 2, 2026, 12:00 AM ET and February 8, 2026, 11:59 PM ET. Otherwise, this market will resolve to “No”.

Pluralization/possessive of the word will count toward the resolution of this market.

Instances where the term is used in a compound word will count regardless of context (e.g. joyful is not a compound word for ""joy,"" however ""killjoy"" is a compounding of the words ""kill"" and ""joy"").

If this market requires a specified number of mentions of a person’s first or last name, a full-name mention will count as one mention (e.g., if a market is about “Joe / Biden 5+ times,” a mention of “Joe Biden” will count once).

A ‘mention’ will include any verbal mention which is recorded (audio or video) and publicly accessible.

Written usages of terms (e.g. Truth Social posts, written statements, etc.) will not count toward this market's resolution.

AI-generated audio or video will not count toward this market's resolution.

Videos posted on his social media which were filmed outside this market's time frame will not qualify for a ""Yes"" resolution.","[""Yes"", ""No""]",2026-02-08T00:00:00Z,99845.72,1,Yes,"[1.0, 0.0]",will-trump-say-six-seven-this-week-february-8
664715,Israel strike on Yemen by December 31?,"This market will resolve to ""Yes"" if Israel initiates a drone, missile, or air strike on Yemeni soil or any official Yemen embassy or consulate by December 31, 2025, 11:59 PM Israeli local time. Otherwise, this market will resolve to ""No"".

For the purposes of this market, a qualifying ""strike"" is defined as the use of aerial bombs, drones or missiles (including cruise or ballistic missiles) launched by Israeli military forces that impact Yemen ground territory or any official Yemen embassy or consulate (e.g., if a weapons depot on Yemen soil is hit by an Israeli missile, this market will resolve to ""Yes"").

Missiles or drones that are intercepted and surface-to-air missile strikes will not be sufficient for a ""Yes"" resolution, regardless of whether they land on Yemen territory or cause damage.

Actions such as artillery fire, small arms fire, FPV or ATGM strikes directly, ground incursions, naval shelling, cyberattacks, or other operations conducted by Israeli ground operatives will not qualify.

The resolution source will be a consensus of credible reporting.","[""Yes"", ""No""]",2025-12-31T00:00:00Z,99845.47,0,No,"[0.0, 1.0]",israel-strike-on-yemen-by-december-31
522647,Will OpenAI buy X before July?,"On February 10, Sam Altman posted ""no thank you but we will buy twitter for $9.74 billion if you want"" (see: https://x.com/sama/status/1889059531625464090). 

This market will resolve to ""Yes"" if it is announced that X (formerly Twitter) will be, has been, or is being acquired by or merged with OpenAI by June 30, 2025, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

A merger in which X subsumes/acquires OpenAI will not qualify. 

An formal announcement of an agreement will qualify for a ""Yes"" resolution, regardless of whether the announced acquisition/merger actually occurs.

The primary resolution source for this market will be official information from Elon Musk, OpenAI or X, however a consensus of credible reporting may also be used.
","[""Yes"", ""No""]",2025-06-30T12:00:00Z,99823.69,0,No,"[0.0, 1.0]",will-openai-acquire-x-before-july
520424,"Will CDU/CSU, SPD, and BSW form the next German Government?","The next German federal election is scheduled to take place on February 23, 2025.

This market will resolve to the first ruling coalition of parties that forms after the next German federal election.

If the next German Coalition after the election is not announced by December 31, 2025, this market will resolve to ""No"".

If a party does not meet fraktion threshold (5% of seats) it will not be counted as part of the coalition. For example, if CDU/CSU, SPD, & BSW form a coalition, but BSW is not a fraktion, the market would resolve to “CDU/CSU & SPD”.

Any party which signs a coalition agreement which leads to the appointment of a Chancellor will be considered part of the coalition.

This market will resolve based on a consensus of credible reporting. In case of ambiguity, this market will resolve based on official information from the German government, specifically the Federal Returning Officer (Bundeswahlleiter) (https://www.bundeswahlleiterin.de/en/). ","[""Yes"", ""No""]",2025-02-23T12:00:00Z,998204.59,0,No,"[0.0, 1.0]",will-cducsu-spd-and-bsw-form-the-next-german-government
672129,Will Borussia Dortmund win on 2025-11-22?,"In the upcoming game, scheduled for November 22, 2025
If Borussia Dortmund wins, this market will resolve to ""Yes"".
Otherwise, this market will resolve to ""No"".
If the game is postponed, this market will remain open until the game has been completed.
If the game is canceled entirely, with no make-up game, this market will resolve ""No"".
This market refers only to the outcome within the first 90 minutes of regular play plus stoppage time.","[""Yes"", ""No""]",2025-11-22T14:30:00Z,99818.16,0,No,"[0.0, 1.0]",bun-dor-stu-2025-11-22-dor
515919,Will 'Anora' win the Golden Globe for Best Screenplay?,"The 82nd Golden Globe Awards is scheduled for January 5, 2025.

This market will resolve to ""Yes"" if Sean Baker wins the Golden Globe for Best Screenplay - Motion Picture for 'Anora'. Otherwise, this market will resolve to ""No"".

If for any reason no winner is declared by June 30, 2025, 11:59 PM ET, this market will resolve to ""No"". In case of a tie for winner, this market will resolve in favor of the individual whose last name comes first in alphabetical order. If two people are listed under one title, the last name of the first person listed will be used.

The primary resolution source for this market will be official information from Golden Globes, including data from their website (e.g. https://goldenglobes.com/) and the live broadcast of the award ceremony, however a consensus of credible reporting may also be used.","[""Yes"", ""No""]",2025-01-05T12:00:00Z,99812.96,0,No,"[0.0, 1.0]",will-anora-win-the-golden-globe-for-best-screenplay
